Week,Team,Opponent,Points,Drives,Yards,Plays,Minutes,PPD,YPP,PPM,Threat Value,TVD
0,North Carolina,TCU,15,9,322,57,27,1.67,5.65,2.11,19.88,4.88
0,TCU,North Carolina,10,10,281,71,33,1.00,3.96,2.15,8.52,-2.52
0,Virginia,NC State,34,10,413,68,38,3.40,6.07,1.79,36.95,2.95
0,NC State,Virginia,8,10,168,51,22,0.80,3.29,2.32,6.11,-1.89
1,Georgia Tech,Colorado,13,10,288,54,26,1.30,5.33,2.08,14.40,1.40
1,Colorado,Georgia Tech,14,10,307,76,34,1.40,4.04,2.24,12.64,-1.36
1,Miami,Stanford,45,7,549,67,32,6.43,8.19,2.09,110.29,65.29
1,Stanford,Miami,6,8,299,65,28,0.75,4.60,2.32,8.01,2.01
1,Clemson,LSU,10,10,145,48,24,1.00,3.02,2.00,6.04,-3.96
1,LSU,Clemson,51,8,644,94,36,6.38,6.85,2.61,114.04,63.04
1,Boston College,Cincinnati,15,10,388,73,31,1.50,5.32,2.35,18.77,3.77
1,Cincinnati,Boston College,34,9,339,61,29,3.78,5.56,2.10,44.16,10.16
1,UCLA,California,45,13,461,54,25,3.46,8.54,2.16,63.83,18.83
1,California,UCLA,24,12,410,87,35,2.00,4.71,2.49,23.43,-0.57
1,Louisville,Ole Miss,38,13,469,68,31,2.92,6.90,2.19,44.22,6.22
1,Ole Miss,Louisville,41,13,488,78,29,3.15,6.26,2.69,53.07,12.07
1,SMU,Florida State,27,11,585,67,28,2.45,8.73,2.39,51.28,24.28
1,Florida State,SMU,24,12,324,68,32,2.00,4.76,2.12,20.25,-3.75
1,Baylor,Auburn,16,12,436,99,33,1.33,4.40,3.00,17.62,1.62
1,Auburn,Baylor,17,12,389,76,27,1.42,5.12,2.81,20.41,3.41
1,Notre Dame,Wisconsin,41,8,350,61,32,5.12,5.74,1.91,56.05,15.05
1,Wisconsin,Notre Dame,13,9,284,61,28,1.44,4.66,2.18,14.65,1.65
