Week,Team,Opponent,Points,Drives,Yards,Plays,Minutes,PPD,YPP,PPM,Threat Value,TVD
2,Alabama,Kentucky,45,10,343,63,32,4.50,5.44,1.97,48.23,3.23
2,Kentucky,Alabama,17,11,209,64,28,1.55,3.27,2.29,11.54,-5.46
2,Arizona State,Texas A&M,20,12,369,63,30,1.67,5.86,2.10,20.50,0.50
2,Texas A&M,Arizona State,48,12,255,60,30,4.00,4.25,2.00,34.00,-14.00
2,Arkansas,Utah,10,8,305,76,32,1.25,4.01,2.38,11.91,1.91
2,Utah,Arkansas,43,7,442,62,28,6.14,7.13,2.21,96.97,53.97
2,Boston College,Rutgers,28,11,402,61,25,2.55,6.59,2.44,40.93,12.93
2,Rutgers,Boston College,21,11,384,68,35,1.91,5.65,1.94,20.95,-0.05
2,BYU,Arizona,28,9,365,56,26,3.11,6.52,2.15,43.68,15.68
2,Arizona,BYU,17,9,327,62,34,1.89,5.27,1.82,18.17,1.17
2,California,Syracuse,21,11,249,60,26,1.91,4.15,2.31,18.28,-2.72
2,Syracuse,California,18,12,436,86,34,1.50,5.07,2.53,19.24,1.24
2,Duke,Illinois,31,8,376,57,27,3.88,6.60,2.11,53.96,22.96
2,Illinois,Duke,27,9,382,68,33,3.00,5.62,2.06,34.73,7.73
2,Georgia Tech,Tennessee,24,10,356,71,31,2.40,5.01,2.29,27.56,3.56
2,Tennessee,Georgia Tech,45,10,447,66,29,4.50,6.77,2.28,69.36,24.36
2,Iowa,Iowa State,16,11,284,59,30,1.45,4.81,1.97,13.77,-2.23
2,Iowa State,Iowa,13,11,255,53,30,1.18,4.81,1.77,10.05,-2.95
2,Kansas,Missouri,21,12,255,67,29,1.75,3.81,2.31,15.39,-5.61
2,Missouri,Kansas,38,13,469,71,31,2.92,6.61,2.29,44.22,6.22
2,Michigan,Oklahoma,17,10,263,58,33,1.70,4.53,1.76,13.55,-3.45
2,Oklahoma,Michigan,10,11,289,62,27,0.91,4.66,2.30,9.73,-0.27
2,Minnesota,Mississippi State,13,7,292,63,30,1.86,4.63,2.10,18.08,5.08
2,Mississippi State,Minnesota,38,8,479,68,30,4.75,7.04,2.27,75.84,37.84
2,Ohio State,Texas,23,11,372,63,29,2.09,5.90,2.17,26.82,3.82
2,Texas,Ohio State,24,10,336,78,31,2.40,4.31,2.52,26.01,2.01
2,Pittsburgh,UCF,12,11,315,72,36,1.09,4.38,2.00,9.55,-2.45
2,UCF,Pittsburgh,7,11,206,53,24,0.64,3.89,2.21,5.46,-1.54
2,Purdue,Wake Forest,36,9,455,82,32,4.00,5.55,2.56,56.88,20.88
2,Wake Forest,Purdue,38,7,411,68,28,5.43,6.04,2.43,79.68,41.68
